,Oil_store,Address,Price,Self,Brand,Location
8,동일석유(주)강남주유소,서울특별시 동대문구  사가정로 103 (전농동),1549.0,N,SK에너지,동대문구
9,삼영주유소,서울 동대문구 답십리로 258 (장안동),1549.0,N,SK에너지,동대문구
10,배봉로주유소,서울 동대문구 서울시립대로 108,1565.0,Y,현대오일뱅크,동대문구
11,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1578.0,Y,SK에너지,동대문구
12,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1587.0,N,S-OIL,동대문구
13,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1588.0,N,GS칼텍스,동대문구
14,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1597.0,Y,GS칼텍스,동대문구
15,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1598.0,N,현대오일뱅크,동대문구
16,오동나무주유소,서울 동대문구  한천로 81 (답십리동),1598.0,N,S-OIL,동대문구
17,재원에너지(주)용일주유소,서울 동대문구 안암로 54 (용두동),1652.0,N,GS칼텍스,동대문구
18,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),1695.0,N,현대오일뱅크,동대문구
19,능주주유소,서울 동대문구 청계천로 431 (신설동),1795.0,N,SK에너지,동대문구
0,매일주유소,서울 동작구 상도로 139 (상도동),1539.0,N,S-OIL,동작구
1,창원이엔지주유소,서울 동작구 사당로 59 (상도동),1549.0,N,현대오일뱅크,동작구
2,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1549.0,N,GS칼텍스,동작구
3,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1569.0,Y,현대오일뱅크,동작구
4,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1569.0,Y,현대오일뱅크,동작구
5,대성산업(주) 노량진주유소,서울 동작구 노량진로 172,1588.0,N,GS칼텍스,동작구
6,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1599.0,Y,현대오일뱅크,동작구
7,(주)성림에너지 남성주유소,서울 동작구 동작대로 135 (사당동),1599.0,Y,GS칼텍스,동작구
8,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),1624.0,N,현대오일뱅크,동작구
9,살피재주유소,서울 동작구 상도로 334,1695.0,N,SK에너지,동작구
0,성산대교셀프주유소,서울 마포구 성산로 144,1538.0,Y,현대오일뱅크,마포구
1,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1577.0,N,SK에너지,마포구
2,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),1587.0,N,GS칼텍스,마포구
3,청원주유소,서울 마포구 월드컵북로 113 (성산동),1608.0,N,현대오일뱅크,마포구
4,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1618.0,Y,S-OIL,마포구
5,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),1618.0,N,SK에너지,마포구
6,용강주유소,서울 마포구 토정로 258,1626.0,N,S-OIL,마포구
7,대흥주유소,서울 마포구 대흥로 61 (대흥동),1648.0,N,SK에너지,마포구
8,현대오일뱅크㈜직영 마포제일주유소,서울 마포구 서강로 76 (창전동),1668.0,N,현대오일뱅크,마포구
9,SK에너지(주) 안국주유소,서울 마포구 양화로 33 (합정동),1738.0,N,SK에너지,마포구
10,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1824.0,N,SK에너지,마포구
11,마포주유소,서울 마포구 마포대로 186 (공덕동),1897.0,N,S-OIL,마포구
0,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106 (홍은동),1507.0,Y,S-OIL,서대문구
1,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1519.0,N,현대오일뱅크,서대문구
2,문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),1519.0,N,S-OIL,서대문구
3,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1535.0,Y,GS칼텍스,서대문구
4,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,1542.0,Y,현대오일뱅크,서대문구
5,현대오일뱅크(주)직영 연세주유소,서울 서대문구 연희로 184,1544.0,Y,현대오일뱅크,서대문구
6,행촌제2주유소,서울 서대문구 성산로 490 (대신동),1547.0,N,SK에너지,서대문구
7,세일석유(주) 구도일주유소 두꺼비,서울 서대문구 성산로 312,1547.0,Y,S-OIL,서대문구
8,남정주유소,서울 서대문구 모래내로 243 (남가좌동),1547.0,N,GS칼텍스,서대문구
9,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),1557.0,N,SK에너지,서대문구
10,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1557.0,Y,SK에너지,서대문구
11,삼미상사(주)서부주유소,서울 서대문구 성산로 255,1557.0,Y,SK에너지,서대문구
12,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1558.0,Y,SK에너지,서대문구
13,광호주유소,서울 서대문구 연희로 266 (홍은동),1568.0,N,SK에너지,서대문구
14,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1578.0,N,현대오일뱅크,서대문구
0,만남의광장주유소,서울 서초구 양재대로12길 73-71,1494.0,Y,알뜰(ex),서초구
1,강남대로주유소,서울 서초구 강남대로 206 (양재동),1583.0,Y,S-OIL,서초구
2,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1585.0,N,GS칼텍스,서초구
